,label
0,other
1,sadness
2,sadness
3,other
4,other
5,worry
6,sadness
7,worry
8,sadness
9,sadness
10,other
11,worry
12,sadness
13,sadness
14,other
15,sadness
16,love
17,sadness
18,worry
19,sadness
20,worry
21,other
22,other
23,worry
24,sadness
25,worry
26,sadness
27,worry
28,sadness
29,worry
30,other
31,other
32,other
33,other
34,other
35,other
36,sadness
37,worry
38,other
39,other
40,happiness
41,other
42,worry
43,worry
44,other
45,worry
46,worry
47,sadness
48,other
49,other
50,other
51,worry
52,other
53,other
54,other
55,worry
56,other
57,other
58,other
59,sadness
60,worry
61,sadness
62,sadness
63,sadness
64,sadness
65,other
66,worry
67,sadness
68,worry
69,happiness
70,other
71,worry
72,other
73,other
74,worry
75,other
76,other
77,happiness
78,worry
79,worry
80,sadness
81,other
82,sadness
83,worry
84,sadness
85,worry
86,other
87,worry
88,worry
89,worry
90,other
91,other
92,worry
93,other
94,love
95,sadness
96,sadness
97,sadness
98,other
99,other
100,worry
101,other
102,other
103,sadness
104,worry
105,other
106,sadness
107,other
108,worry
109,sadness
110,worry
111,other
112,other
113,other
114,other
115,other
116,sadness
117,other
118,other
119,sadness
120,other
121,other
122,love
123,worry
124,other
125,sadness
126,happiness
127,sadness
128,other
129,worry
130,other
131,love
132,sadness
133,other
134,other
135,sadness
136,sadness
137,other
138,other
139,worry
140,other
141,other
142,other
143,worry
144,other
145,worry
146,other
147,other
148,other
149,other
150,sadness
151,love
152,worry
153,worry
154,worry
155,worry
156,other
157,worry
158,worry
159,worry
160,other
161,worry
162,sadness
163,sadness
164,other
165,other
166,sadness
167,worry
168,sadness
169,other
170,worry
171,sadness
172,worry
173,sadness
174,sadness
175,other
176,other
177,worry
178,other
179,other
180,other
181,other
182,other
183,sadness
184,worry
185,sadness
186,sadness
187,worry
188,worry
189,other
190,other
191,sadness
192,other
193,sadness
194,other
195,worry
196,other
197,worry
198,other
199,worry
200,sadness
201,worry
202,sadness
203,other
204,sadness
205,other
206,other
207,other
208,other
209,other
210,love
211,sadness
212,other
213,sadness
214,sadness
215,other
216,other
217,other
218,other
219,other
220,other
221,other
222,worry
223,other
224,other
225,worry
226,sadness
227,worry
228,sadness
229,worry
230,worry
231,other
232,other
233,happiness
234,happiness
235,other
236,sadness
237,worry
238,other
239,worry
240,other
241,other
242,sadness
243,worry
244,other
245,sadness
246,happiness
247,worry
248,other
249,worry
250,happiness
251,other
252,worry
253,other
254,sadness
255,other
256,other
257,other
258,worry
259,other
260,other
261,worry
262,other
263,other
264,other
265,other
266,worry
267,sadness
268,sadness
269,sadness
270,sadness
271,other
272,other
273,other
274,worry
275,sadness
276,sadness
277,other
278,worry
279,other
280,worry
281,sadness
282,other
283,other
284,other
285,worry
286,other
287,other
288,other
289,other
290,other
291,sadness
292,worry
293,happiness
294,worry
295,other
296,worry
297,sadness
298,other
299,other
300,worry
301,sadness
302,other
303,other
304,sadness
305,other
306,other
307,other
308,happiness
309,other
310,other
311,other
312,other
313,sadness
314,sadness
315,other
316,other
317,worry
318,worry
319,worry
320,worry
321,sadness
322,other
323,sadness
324,sadness
325,worry
326,sadness
327,sadness
328,sadness
329,worry
330,other
331,sadness
332,sadness
333,other
334,worry
335,worry
336,sadness
337,worry
338,worry
339,other
341,other
342,other
343,sadness
344,sadness
345,other
346,worry
347,worry
348,other
349,worry
350,other
351,sadness
352,other
353,happiness
354,worry
355,other
356,worry
357,worry
358,other
359,other
360,worry
361,sadness
362,worry
363,worry
364,sadness
365,other
366,worry
367,sadness
368,other
369,worry
370,sadness
371,sadness
372,sadness
373,other
374,other
375,worry
376,sadness
377,worry
378,other
379,other
380,other
381,sadness
382,worry
383,other
384,other
385,happiness
386,sadness
387,other
388,worry
389,worry
390,worry
391,other
392,other
393,worry
394,other
395,happiness
396,sadness
397,love
398,other
399,sadness
400,other
401,worry
402,worry
403,worry
404,other
405,worry
406,other
407,worry
408,love
409,other
410,sadness
411,other
412,sadness
413,worry
414,worry
415,worry
416,sadness
417,other
418,sadness
419,other
420,other
421,worry
422,other
423,other
424,other
425,sadness
426,worry
427,other
428,sadness
429,sadness
430,other
431,other
432,sadness
433,worry
434,other
